participant_id,age,gender,condition,light_lux,noise_db,n_back_level,trial_number,reaction_time_ms,correct
P01,19,Female,Baseline,412.7,36.7,2,1,642.1,1
P01,19,Female,Baseline,511.7,36.6,2,2,579.0,1
P01,19,Female,Baseline,472.3,32.9,1,3,495.0,1
P01,19,Female,Baseline,485.7,40.8,1,4,522.2,1
P01,19,Female,Baseline,505.0,36.8,1,5,509.8,1
P01,19,Female,Baseline,464.7,33.2,2,6,634.5,1
P01,19,Female,Baseline,480.5,39.9,1,7,584.3,1
P01,19,Female,Baseline,463.1,37.7,2,8,516.3,1
P01,19,Female,Baseline,427.1,34.0,1,9,503.0,1
P01,19,Female,Baseline,532.0,36.6,2,10,650.5,1
P01,19,Female,Baseline,471.8,34.2,1,11,596.6,1
P01,19,Female,Baseline,497.4,39.0,2,12,577.7,0
P01,19,Female,Baseline,482.9,35.9,2,13,612.4,1
P01,19,Female,Baseline,470.4,33.9,1,14,562.1,1
P01,19,Female,Baseline,534.4,41.3,2,15,693.6,1
P01,19,Female,Baseline,454.4,34.3,1,16,533.0,1
P01,19,Female,Baseline,505.4,37.1,1,17,497.5,1
P01,19,Female,Baseline,513.5,46.0,2,18,777.8,0
P01,19,Female,Baseline,440.4,29.5,2,19,572.7,1
P01,19,Female,Baseline,455.5,37.4,1,20,615.4,0
P01,19,Female,Baseline,473.7,33.9,1,21,529.6,1
P01,19,Female,Baseline,491.2,45.1,1,22,563.8,1
P01,19,Female,Baseline,460.0,33.3,1,23,518.4,1
P01,19,Female,Baseline,447.1,41.4,1,24,510.1,0
P01,19,Female,Baseline,495.4,37.4,2,25,582.2,1
P01,19,Female,Light,1054.5,33.1,1,1,719.5,0
P01,19,Female,Light,1257.9,38.6,1,2,1019.6,1
P01,19,Female,Light,1121.9,36.4,2,3,975.3,1
P01,19,Female,Light,1253.6,38.7,1,4,924.6,1
P01,19,Female,Light,1272.4,37.3,2,5,1062.3,1
P01,19,Female,Light,989.3,34.4,2,6,776.6,1
P01,19,Female,Light,1083.7,39.4,2,7,957.3,1
P01,19,Female,Light,1164.4,29.8,1,8,854.7,1
P01,19,Female,Light,1012.2,36.7,2,9,868.8,1
P01,19,Female,Light,1103.1,36.1,2,10,955.3,1
P01,19,Female,Light,1233.7,37.4,1,11,942.2,1
P01,19,Female,Light,1124.2,38.7,2,12,927.1,1
